province,average_temp,average_rain,average_sun
PONTEVEDRA,14.452957435046986,5.140464344941959,5.975248893805309
SALAMANCA,12.753647459551516,1.1041216600341088,7.280467836257309
SEGOVIA,12.628408442669707,1.409184255561894,7.30793559516962
SEVILLA,18.943679775280852,1.5865411632481032,8.278398195149483
SORIA,11.56374269005847,1.6276608187134496,7.2334502923976745
STA. CRUZ DE TENERIFE,19.40880864993539,0.7923023509572485,7.532249349609752
TARRAGONA,17.261275362318855,1.6149158444573415,7.510196195005957
TERUEL,12.403230966090886,1.1050863723608437,7.188860187278013
TOLEDO,16.118001135718323,0.9847245883021006,8.174162407722893
VALENCIA,18.584212026218307,1.4381875178113421,7.779231210556492
VALLADOLID,12.345931074428004,1.3333912539820438,7.36945169712793
ZAMORA,13.311564245810041,1.2111731843575424,6.77977653631285
ZARAGOZA,14.734102712059995,1.0855164454702815,7.5237146158289905
A CORUÑA,14.09517811454439,3.57615595611286,5.6679882237487575
ALBACETE,15.23956484397364,0.9407502863688426,8.05745729303548
ALICANTE,18.14025085518818,0.8391934109627928,7.676142569703942
ALMERIA,19.029625425652686,0.6076574021554171,8.313272830402738
ARABA/ALAVA,11.837676056338044,2.126936619718308,5.551877934272307
ASTURIAS,13.81889778794814,2.7748283752860465,4.893253493013969
AVILA,11.931662735849056,1.1715801886792452,7.528489847715749
BADAJOZ,17.256920511395197,1.0354085603112848,8.189772095608664
BARCELONA,16.28479411764705,1.4803677342823245,7.022758405977592
BIZKAIA,14.968439509059065,3.422300058377118,4.318983644859815
BURGOS,11.31712609970673,1.6297360703812298,6.709560117302063
CACERES,16.575028184892886,1.313528748590755,8.36420518602031
CADIZ,18.172905970368188,1.5580228806101526,8.610016386726775
CANTABRIA,14.605193661971825,3.2708418891170443,5.0556634304207
CASTELLON,18.123830985915504,1.4384788732394347,7.85921130076516
CEUTA,18.551620370370337,2.1847546728971965,6.438888888888887
CIUDAD REAL,16.00039570378746,1.1589830508474575,7.721709295071736
CORDOBA,18.631751412429402,1.5261851015801344,8.178983050847444
CUENCA,13.905493273542591,1.435518207282913,7.479015837104076
GIPUZKOA,14.254769407046677,4.506301919220868,4.998796906330579
GIRONA,14.50589743589742,1.642364217252394,6.324984025559113
GRANADA,15.621364653243866,0.9128878948839808,8.095610847078543
GUADALAJARA,12.085963382737532,1.151597908192909,7.2788702928870395
HUELVA,18.310067114093986,1.273646007816861,8.345491803278696
HUESCA,14.267133258678626,1.2062569832402235,7.727758501040953
ILLES BALEARS,17.73697478991603,1.4864103316700974,7.272303164091237
JAEN,17.28680593732819,1.327677100494233,7.962407862407868
LA RIOJA,14.228441410693963,1.2499999999999996,6.85568828213879
LAS PALMAS,21.382028768914644,0.3407745298827033,7.680085692995524
LEON,12.305986316989735,1.4384264538198375,7.40114722753345
LLEIDA,15.59904363419009,0.9175029868578252,7.888888888888887
LUGO,12.12233189389267,3.173304562268805,5.3373134328358205
MADRID,13.925858569456809,1.4522758620689766,7.708363668649552
MALAGA,19.02296678121419,1.3066437571592213,8.370504009163804
MELILLA,19.025154407636105,1.3109489051094905,7.483717012914086
MURCIA,18.572622919456638,0.8814517669532009,8.069267638036786
NAVARRA,13.37242063492062,2.1393766085215944,6.501430205949661
OURENSE,15.32137850467287,2.1581191588785034,6.040394973070007
PONTEVEDRA,14.343739230327373,4.13758600917432,6.6673638968481415
SALAMANCA,12.838978267005377,0.990955486248935,7.999884326200127
SEGOVIA,12.665742345465047,1.3263431542460995,7.572039283651072
SEVILLA,19.051915492957697,1.3887637285271752,8.378551216751536
SORIA,11.406827545615073,1.464529411764706,7.553643303261623
STA. CRUZ DE TENERIFE,18.663845859629014,0.910141008305973,7.378849739915618
TARRAGONA,16.876646884273,1.4319432120674342,7.553463587921862
TERUEL,12.348020791683316,1.063934426229507,7.175851763299459
TOLEDO,16.29646522234891,0.9380843785632842,8.463055872291893
VALENCIA,18.015099223468557,1.4416546969261685,7.290800794176033
VALLADOLID,12.355968858131478,1.2511534025374862,7.7886792452830065
ZAMORA,13.243007769145397,1.1194783573806881,7.081983149708353
ZARAGOZA,14.71697513013304,1.0825910931174063,7.733670812843511
A CORUÑA,13.781332703213614,2.9967446125630444,5.504585456229738
ALBACETE,14.535328947368404,1.174061882817643,7.859503491078364
ALICANTE,17.694374586366624,0.7982166446499332,7.590320427236322
ALMERIA,18.653896961690887,0.6871428571428573,8.438181818181807
ARABA/ALAVA,11.274632843791718,1.6539385847797075,5.177941176470585
ASTURIAS,13.486377708978356,2.8641309155241013,4.691331269349849
AVILA,11.479835390946485,1.077366255144033,7.19827044025157
BADAJOZ,16.665161290322587,1.6251612903225812,8.005032258064524
BARCELONA,15.771780821917815,1.960266292922211,6.824550430023457
BIZKAIA,14.787854251012156,3.2638326585695014,4.193306010928959
BURGOS,10.456830601092895,1.5898907103825142,6.390983606557378
CACERES,16.060830090791185,1.7197146562905319,8.17224383916991
CADIZ,18.03763010408323,1.7806611570247892,8.299397590361435
CANTABRIA,14.547515745276415,3.054715672676835,4.72347222222222
CASTELLON,17.1235939643347,1.2411994784876137,7.653286384976527
CEUTA,18.395934959349614,3.3974393530997293,5.8733668341708585
CIUDAD REAL,15.374440052700923,1.4297760210803696,7.590703851261615
CORDOBA,17.97065073041167,2.140579710144928,8.06420079260238
CUENCA,13.40424966799468,1.5791500664010616,7.342937062937069
GIPUZKOA,13.807427055702922,4.2294429708222845,5.054641909814324
GIRONA,15.156487549148087,1.9673443456162656,6.550986342943854
GRANADA,15.151989730423612,1.223427471116816,7.8026315789473815
GUADALAJARA,11.833692722371975,1.3306539509536786,6.664092140921406
HUELVA,18.19227748691099,1.8418848167539252,8.246794871794869
HUESCA,13.938910505836583,1.1862516212710768,8.034500648508422
ILLES BALEARS,16.985947046843215,1.576253387533873,7.236899488926751
JAEN,16.68585987261147,1.705949367088608,
LA RIOJA,13.752173913043471,0.8892663043478272,6.818614130434775
